ds,inflow_operating_revenue_actual,inflow_operating_revenue_forecast,inflow_operating_revenue_lower,inflow_operating_revenue_upper,outflow_cogs_actual,outflow_cogs_forecast,outflow_cogs_lower,outflow_cogs_upper,outflow_opex_actual,outflow_opex_forecast,outflow_opex_lower,outflow_opex_upper,inflow_operating_revenue_final,outflow_cogs_final,outflow_opex_final,activity_pct_delta,confidence_pct_delta,cost_pct_delta,interest_expense,taxes,net_debt_financing_activity,capex_outflow,long_term_debt_projected,interest_forecast,interest_final,ebit_final,ebt_final,taxes_forecast,taxes_final,net_operating_cash_flow,net_investing_cash_flow,net_financing_cash_flow,net_change_in_cash_total
2000-11-01,599250540.118578,660861608.7539372,606140992.0760257,717161631.6307648,282845997.3699339,312890804.8853832,283449381.34473145,342011377.80305344,89887581.0177867,99736712.31885356,91228932.02883536,107676745.13514496,599250540.118578,282845997.3699339,89887581.0177867,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,226516961.73085737,226441407.39985737,56610351.84996434,56610351.84996434,169831055.54989308,-0.0,0.0,169831055.54989308
2000-12-01,584380698.7962962,618584026.5892586,563496012.0964849,673299322.0460291,276460796.7251759,296881644.1584053,268701782.96039844,327062777.3492106,87657104.81944443,92804053.77154233,84808069.72049385,101027955.43944348,584380698.7962962,276460796.7251759,87657104.81944443,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,220262797.2516759,220187242.9206759,55046810.730168976,55046810.730168976,165140432.19050694,-0.0,0.0,165140432.19050694
2001-01-01,644979942.1168945,595553088.9754031,542148425.6696858,648680217.6796153,306876882.08053005,285200925.9935806,257027850.2830012,313620355.1085076,96746991.31753416,89127912.33664654,79826994.92108497,97821360.50434674,644979942.1168945,306876882.08053005,96746991.31753416,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,241356068.7188303,241280514.3878303,60320128.59695757,60320128.59695757,180960385.79087275,-0.0,0.0,180960385.79087275
2001-02-01,623397063.0848606,584797699.8524582,527942850.44615775,638964837.556082,297283545.7310372,282494804.7415928,254352241.700419,309671337.9433278,93509559.46272908,87236703.14609256,79198586.27999564,95422654.389634,623397063.0848606,297283545.7310372,93509559.46272908,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,232603957.89109427,232528403.56009427,58132100.89002357,58132100.89002357,174396302.6700707,-0.0,0.0,174396302.6700707
2001-03-01,605546449.7950482,572854347.4867809,516693726.6750328,625111980.3134578,288935078.27719474,274575588.68286765,247375487.60193616,304234331.2784191,90831967.46925724,85972810.46819086,77849152.88740617,94584014.04400931,605546449.7950482,288935078.27719474,90831967.46925724,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,225779404.04859626,225703849.71759626,56425962.429399066,56425962.429399066,169277887.28819722,-0.0,0.0,169277887.28819722
2001-04-01,606611488.6681967,574155276.1673726,521459446.0290674,634041864.2970868,289936348.1225936,276434231.1890529,247157824.1790588,304468129.70144206,90991723.3002295,86020272.59983468,77723378.38909806,93836916.40530862,606611488.6681967,289936348.1225936,90991723.3002295,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,225683417.2453736,225607862.9143736,56401965.7285934,56401965.7285934,169205897.18578023,-0.0,0.0,169205897.18578023
2001-05-01,601225725.0960225,596725433.1924763,541124600.7596785,650429451.4145497,288828299.2142185,288132982.07608145,260309553.44758064,318398245.0582561,90183858.76440336,89411198.85212724,80909852.24947482,97795121.72399428,601225725.0960225,288828299.2142185,90183858.76440336,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,222213567.11740065,222138012.78640065,55534503.19660016,55534503.19660016,166603509.58980054,-0.0,0.0,166603509.58980054
2001-06-01,639028753.7932951,596327717.3827384,537743301.0664222,649790784.6071327,307681426.5183721,286616454.3972867,258247269.5621417,314064808.5433914,95854313.06899428,89358845.72378759,81231433.61084169,97663446.76197252,639028753.7932951,307681426.5183721,95854313.06899428,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,235493014.20592874,235417459.87492874,58854364.968732186,58854364.968732186,176563094.9061966,-0.0,0.0,176563094.9061966
2001-07-01,587766984.8250101,602445863.0226659,547195979.9294659,657113094.4932758,282521989.496842,289142518.5068048,261546142.72810295,318120535.4740319,88165047.7237515,90189353.23411056,81533937.4678099,99380063.97992308,587766984.8250101,282521989.496842,88165047.7237515,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,217079947.60441655,217004393.27341655,54251098.31835414,54251098.31835414,162753294.95506245,-0.0,0.0,162753294.95506245
2001-08-01,577665770.7019787,594769267.8213204,537379234.132275,650057453.7042586,277666638.33889616,285446473.9259018,255460178.5327681,312023304.29964954,86649865.6052968,89193346.67015159,80853347.54212897,97479411.82955016,577665770.7019787,277666638.33889616,86649865.6052968,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,213349266.75778574,213273712.42678574,53318428.106696434,53318428.106696434,159955284.32008934,-0.0,0.0,159955284.32008934
2001-09-01,612518427.0436722,544443628.9096609,491034906.8615184,602907989.3753462,295581011.1830808,264690358.30096385,238220710.00102997,293878591.96782863,91877764.05655085,81340446.82035045,72946268.10132933,89332566.60277839,612518427.0436722,295581011.1830808,91877764.05655085,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,225059651.80404055,224984097.47304055,56246024.36826014,56246024.36826014,168738073.10478044,-0.0,0.0,168738073.10478044
2001-10-01,798357215.0956873,554177855.1537938,500872240.6092412,608986210.4251242,384179041.32465,266481259.18679896,236879341.50385863,296477833.8750492,119753582.26435308,82909318.62883854,74316446.32766284,91003211.98297209,798357215.0956873,384179041.32465,119753582.26435308,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,294424591.5066842,294349037.1756842,73587259.29392105,73587259.29392105,220761777.8817631,-0.0,0.0,220761777.8817631
2001-11-01,656540711.7748264,542555253.834318,488152781.580936,600257134.8318543,315757352.1455044,262316043.24163875,233029964.50237355,291573496.3066146,98481106.76622397,81382961.73829636,72880538.54804993,89447992.36855567,656540711.7748264,315757352.1455044,98481106.76622397,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,242302252.86309803,242226698.53209803,60556674.633024506,60556674.633024506,181670023.89907354,-0.0,0.0,181670023.89907354
2001-12-01,581651018.4103234,571809335.6102798,511723324.55886304,622823604.9417732,279582227.5779455,275665435.9655581,245122898.08049515,304601696.00008833,87247652.7615485,85601300.2112693,77187396.43562025,93683171.9805274,581651018.4103234,279582227.5779455,87247652.7615485,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,214821138.0708294,214745583.7398294,53686395.93495735,53686395.93495735,161059187.8048721,-0.0,0.0,161059187.8048721
2002-01-01,594278785.0751162,595341561.3015579,539779692.8030651,654524266.7285932,286135081.1776809,285557783.06645393,256664017.6270429,316373966.5065692,89141817.76126742,89061787.57534236,80536887.63951437,97014493.08453016,594278785.0751162,286135081.1776809,89141817.76126742,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,219001886.13616782,218926331.80516782,54731582.951291956,54731582.951291956,164194748.85387588,-0.0,0.0,164194748.85387588
2002-02-01,630615443.3893218,590203326.6788758,533452817.0902654,645277322.5491182,304143162.1435935,284222613.10296935,255109497.3188281,311556883.7283935,94592316.50839826,88143861.63254054,79689033.95697041,96644872.62394384,630615443.3893218,304143162.1435935,94592316.50839826,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,231879964.73733008,231804410.40633008,57951102.60158252,57951102.60158252,173853307.80474758,-0.0,0.0,173853307.80474758
2002-03-01,607736453.5637307,620961623.4313663,567057996.0641626,676975104.0786549,293932061.1886353,296260154.5142979,267598954.0959704,321191428.0104981,91160468.0345596,93004959.36490785,84502652.47805437,101887528.06620865,607736453.5637307,293932061.1886353,91160468.0345596,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,222643924.34053582,222568370.00953582,55642092.502383955,55642092.502383955,166926277.5071519,-0.0,0.0,166926277.5071519
2002-04-01,647282945.7200712,623780312.4896303,565888328.635702,679160021.1208786,314461807.69159657,300743720.86891544,271654015.41992587,327936111.8088984,97092441.85801068,93322927.36165804,85134212.63015328,101910943.22935653,647282945.7200712,314461807.69159657,97092441.85801068,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,235728696.17046392,235653141.83946392,58913285.45986598,58913285.45986598,176739856.37959796,-0.0,0.0,176739856.37959796
2002-05-01,581890964.0171596,646071376.6642202,593084152.2592593,698878636.1247867,283008525.4971563,313195566.9584624,286348257.2655583,342312973.672924,87283644.60257393,96712547.09734794,88563240.54545735,105161057.33775768,581890964.0171596,283008525.4971563,87283644.60257393,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,211598793.91742933,211523239.58642933,52880809.89660733,52880809.89660733,158642429.68982202,-0.0,0.0,158642429.68982202
2002-06-01,612859926.1048541,630970956.011603,574447637.5322723,690297616.8870616,298236647.8667617,307181663.1379907,280501210.2848971,337225957.40460855,91928988.9157281,94345552.84513783,85986701.08341806,102046532.09266914,612859926.1048541,298236647.8667617,91928988.9157281,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,222694289.32236433,222618734.99136433,55654683.74784108,55654683.74784108,166964051.2435233,-0.0,0.0,166964051.2435233
2002-07-01,651932274.2261713,616072811.1946007,560086956.51895,672651310.93423,317957035.47973907,301572298.66352135,275098555.9287539,332248237.3596513,97789841.13392568,92083413.23033376,83805883.24153365,100908822.59513626,651932274.2261713,317957035.47973907,97789841.13392568,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,236185397.6125065,236109843.2815065,59027460.82037663,59027460.82037663,177082382.4611299,-0.0,0.0,177082382.4611299
2002-08-01,695706995.5090982,614135512.441185,560032085.724188,667364412.6387929,340249134.4173437,300875262.8026454,274280322.9008161,329904881.983152,104356049.32636473,91817072.65946336,82986265.25748438,99810577.79817247,695706995.5090982,340249134.4173437,104356049.32636473,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,251101811.7653898,251026257.4343898,62756564.35859745,62756564.35859745,188269693.07579237,-0.0,0.0,188269693.07579237
2002-09-01,605820225.4066613,598706198.4088677,544495695.3709788,651630858.7069318,296780694.54186094,294980418.03110766,265375180.7126496,323405274.3215409,90873033.81099918,89483976.77670674,81255725.5379647,97999053.82370202,605820225.4066613,296780694.54186094,90873033.81099918,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,218166497.05380118,218090942.72280118,54522735.680700295,54522735.680700295,163568207.0421009,-0.0,0.0,163568207.0421009
2002-10-01,578713756.4553187,572339154.6428014,514111307.630935,630676621.3101528,284128927.37419665,282813669.8523063,254576930.6402188,310566293.62068987,86807063.4682978,85445778.72014359,76867189.83629118,93158512.02806754,578713756.4553187,284128927.37419665,86807063.4682978,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,207777765.61282426,207702211.28182426,51925552.820456065,51925552.820456065,155776658.4613682,-0.0,0.0,155776658.4613682
2002-11-01,610593460.1861749,595236387.1169494,540114612.7191865,657429332.0774348,300277112.0213516,293836751.72655445,265446536.89207968,320589958.9569215,91589019.02792622,88878098.84698933,80287650.29221268,96918944.06604607,610593460.1861749,300277112.0213516,91589019.02792622,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,218727329.1368971,218651774.8058971,54662943.70147427,54662943.70147427,163988831.10442287,-0.0,0.0,163988831.10442287
2002-12-01,633792815.1096845,592901226.7526048,535860014.5709443,653812250.0629629,312201253.8621904,293350095.1109404,266195365.13416204,322223381.3781432,95068922.26645268,88623073.68504868,80445257.72769932,96697024.33845468,633792815.1096845,312201253.8621904,95068922.26645268,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,226522638.98104137,226447084.65004137,56611771.16251034,56611771.16251034,169835313.48753107,-0.0,0.0,169835313.48753107
2003-01-01,610085292.6722052,571609445.3627095,517947331.895884,625536427.2154413,301845552.5527301,286247801.27301943,256902616.9245048,316676852.33593184,91512793.90083078,85292542.70898105,77344464.67133638,93118043.83802862,610085292.6722052,301845552.5527301,91512793.90083078,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,216726946.21864438,216651391.88764438,54162847.971911095,54162847.971911095,162488543.91573334,-0.0,0.0,162488543.91573334
2003-02-01,562982684.1664107,564328826.6502311,505449654.9797781,616090547.1292627,280066501.70277464,282726171.1327492,255244277.67902228,312216489.41875744,84447402.6249616,84122136.331357,76204849.8401412,92319698.09548502,562982684.1664107,280066501.70277464,84447402.6249616,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,198468779.83867443,198393225.50767443,49598306.37691861,49598306.37691861,148794919.13075584,-0.0,0.0,148794919.13075584
2003-03-01,582878068.6903094,556927652.9258087,502717662.4121612,610872731.3474902,290437638.3037009,278214893.41561246,250709041.3292533,306870164.88884336,87431710.30354641,82942683.02680907,74672898.9512487,91535473.0440726,582878068.6903094,290437638.3037009,87431710.30354641,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,205008720.08306205,204933165.75206205,51233291.43801551,51233291.43801551,153699874.31404656,-0.0,0.0,153699874.31404656
2003-04-01,611509203.4357823,597523125.8621842,540174952.5004071,655904503.6748115,303544186.4145007,296848575.7526929,271301512.832324,325692852.44601184,91726380.51536734,89226002.80633049,81292733.77096419,97865038.68503708,611509203.4357823,303544186.4145007,91726380.51536734,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,216238636.50591427,216163082.17491427,54040770.54372857,54040770.54372857,162122311.6311857,-0.0,0.0,162122311.6311857
2003-05-01,607738338.3871753,623140559.3003994,568247787.7376842,678641420.6631799,301178379.3965585,309730216.8126332,282913218.1150657,340442664.9252207,91160750.7580763,93207724.21419051,84504840.2969273,101585622.11469078,607738338.3871753,301178379.3965585,91160750.7580763,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,215399208.2325405,215323653.9015405,53830913.47538512,53830913.47538512,161492740.4261554,-0.0,0.0,161492740.4261554
2003-06-01,620758313.3838348,609597316.0562583,556074781.4338692,668332001.2844003,307967112.6076658,302636433.3733976,273990799.62465465,330759148.97715795,93113747.00757524,91189264.08757617,82756266.09844595,99273989.81866416,620758313.3838348,307967112.6076658,93113747.00757524,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,219677453.7685938,219601899.4375938,54900474.85939845,54900474.85939845,164701424.5781954,-0.0,0.0,164701424.5781954
2003-07-01,620980096.3902413,627721284.8259941,572396060.4967886,681335145.398833,309086679.6732196,311242269.5450896,281581859.4506674,340151996.2766689,93147014.4585362,94046458.23257416,85773594.96549484,101969780.72451223,620980096.3902413,309086679.6732196,93147014.4585362,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,218746402.25848544,218670847.92748544,54667711.98187136,54667711.98187136,164003135.9456141,-0.0,0.0,164003135.9456141
2003-08-01,660055994.7531787,624348848.6329813,571798140.097534,679553424.9612081,329967071.7809571,310434337.33318734,284602771.4695084,336474856.53504,99008399.2129768,93412072.76230216,84896662.7289063,101838572.28678463,660055994.7531787,329967071.7809571,99008399.2129768,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,231080523.7592448,231004969.4282448,57751242.3570612,57751242.3570612,173253727.07118362,-0.0,0.0,173253727.07118362
2003-09-01,609978078.0310479,612258737.1828424,556476362.0297766,669775636.6273206,305924386.9690833,307110552.8733113,280567218.4514048,337403121.4094441,91496711.70465718,91655235.69564047,83313887.87180606,99744231.05329049,609978078.0310479,305924386.9690833,91496711.70465718,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,212556979.35730743,212481425.02630743,53120356.25657686,53120356.25657686,159361068.76973063,-0.0,0.0,159361068.76973063
2003-10-01,590951837.3242464,631538098.5179777,572514789.5808998,689972250.4533579,296061851.5728508,315221968.96617484,285848545.59754777,343491572.60351336,88642775.59863696,94419075.12658408,86238708.64207247,102685741.32433784,590951837.3242464,296061851.5728508,88642775.59863696,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,206247210.1527586,206171655.8217586,51542913.95543965,51542913.95543965,154628741.866319,-0.0,0.0,154628741.866319
2003-11-01,632753856.6289803,656695794.5708337,603298304.471807,712146177.0978763,317175754.57573235,326124694.4574463,297410448.2753472,354855537.95645964,94913078.49434704,98090144.01997197,89460745.65306452,106281300.1973461,632753856.6289803,317175754.57573235,94913078.49434704,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,220665023.5589009,220589469.2279009,55147367.30697522,55147367.30697522,165442101.92092568,-0.0,0.0,165442101.92092568
2003-12-01,644490756.9796231,633768394.6737329,577343029.0502343,688458910.5134212,323932154.6072718,317932104.4041418,289261964.6613296,346698204.3008129,96673613.54694346,94881541.28195438,86509859.64697495,103102133.62926354,644490756.9796231,323932154.6072718,96673613.54694346,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,223884988.82540786,223809434.49440786,55952358.623601966,55952358.623601966,167857075.87080592,-0.0,0.0,167857075.87080592
2004-01-01,611246726.654781,676261311.8702458,623090431.9901544,732331396.237351,308548083.91407937,337503356.8930077,308060050.34371203,365520981.7497268,91687008.99821717,101492510.48454618,93191409.85991313,110144366.37310058,611246726.654781,308548083.91407937,91687008.99821717,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,211011633.74248445,210936079.41148445,52734019.85287111,52734019.85287111,158202059.55861336,-0.0,0.0,158202059.55861336
2004-02-01,597490870.7579997,638329248.0939076,579388457.8483315,693259742.6273235,302251903.3462274,320087386.19003105,293012351.4985746,347958605.1992805,89623630.61369994,95647247.07307927,86977628.68072504,103896313.8728382,597490870.7579997,302251903.3462274,89623630.61369994,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,205615336.79807234,205539782.46707234,51384945.616768084,51384945.616768084,154154836.8503043,-0.0,0.0,154154836.8503043
2004-03-01,631211843.2548609,639924218.6550068,590474024.2168634,694793730.8989173,319994400.52339524,320388227.7769689,291047847.47670656,350203944.4773834,94681776.48822913,96019107.60419495,87553834.26258956,104422513.12141567,631211843.2548609,319994400.52339524,94681776.48822913,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,216535666.24323654,216460111.91223654,54115027.978059135,54115027.978059135,162345083.93417746,-0.0,0.0,162345083.93417746
2004-04-01,609723983.5487635,650107739.1760598,595010951.2900311,707668497.8497747,309596696.09966683,326272695.1068094,297162306.5627762,354480131.8706421,91458597.53231452,97428001.6076802,88863421.48394485,106039089.31275536,609723983.5487635,309596696.09966683,91458597.53231452,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,208668689.91678214,208593135.58578214,52148283.896445535,52148283.896445535,156444851.68933666,-0.0,0.0,156444851.68933666
2004-05-01,652338566.2019807,639298907.8477618,582569962.0069085,694285033.9849311,332648926.5377805,325939362.86014086,296459399.34580034,354591780.7769069,97850784.9302971,95672447.34543473,87208776.87865534,103503466.64949408,652338566.2019807,332648926.5377805,97850784.9302971,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,221838854.73390305,221763300.40290305,55440825.10072576,55440825.10072576,166322475.3021773,-0.0,0.0,166322475.3021773
2004-06-01,595287831.8407463,654943342.1370515,602955342.3238587,711152089.5902491,304685941.3587934,331378780.885915,303086831.0581891,359943536.1503766,89293174.77611195,98126605.23041011,89736976.0946207,105706343.51475026,595287831.8407463,304685941.3587934,89293174.77611195,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,201308715.70584095,201233161.37484095,50308290.343710236,50308290.343710236,150924871.03113073,-0.0,0.0,150924871.03113073
2004-07-01,642379613.5768784,681305861.1870403,629800202.9099168,734600254.1569953,329137018.7976788,345572177.8618157,315760377.3713879,373609366.66331553,96356942.03653176,101856555.11041512,93833773.13012172,110415146.99630462,642379613.5768784,329137018.7976788,96356942.03653176,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,216885652.74266785,216810098.41166785,54202524.60291696,54202524.60291696,162607573.80875093,-0.0,0.0,162607573.80875093
2004-08-01,635494271.9386163,666718511.1576462,611806659.9640362,719343061.4151766,325781354.71590364,338535215.5796623,310001290.08497363,367861693.2545703,95324140.79079244,99964726.2278693,91291999.01733464,107952225.7479538,635494271.9386163,325781354.71590364,95324140.79079244,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,214388776.43192017,214313222.10092017,53578305.52523004,53578305.52523004,160734916.57569015,-0.0,0.0,160734916.57569015
2004-09-01,639073095.4127634,657539188.5455829,603798732.3264025,708066249.0933853,328654963.0407982,334831964.2831873,306687074.80596066,361709143.1370805,95860964.3119145,98342177.08151457,90567277.12965946,107405759.45097414,639073095.4127634,328654963.0407982,95860964.3119145,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,214557168.06005067,214481613.72905067,53620403.43226267,53620403.43226267,160861210.29678804,-0.0,0.0,160861210.29678804
2004-10-01,632917236.3968867,647901940.7136399,594948608.3471751,704130390.7521377,327204106.7966918,329786404.57546294,301562725.6217152,356353643.7646251,94937585.459533,97084866.27432336,88343264.72290367,106075209.63044596,632917236.3968867,327204106.7966918,94937585.459533,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,210775544.14066195,210699989.80966195,52674997.45241549,52674997.45241549,158024992.35724652,-0.0,0.0,158024992.35724652
2004-11-01,635511306.1687886,631395617.6072308,575390349.8295373,687549211.6935216,330094924.49002504,325803618.2376853,296592160.81389844,353708150.3730056,95326695.92531829,94961941.87565637,86159663.22133951,103693727.4845943,635511306.1687886,330094924.49002504,95326695.92531829,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,210089685.7534452,210014131.4224452,52503532.8556113,52503532.8556113,157510598.5668339,-0.0,0.0,157510598.5668339
2004-12-01,671079753.6981062,665176566.1957486,611759173.5849098,722863106.625878,348569755.5236356,342922019.46932834,315044064.47089255,372691469.284146,100661963.05471592,99679870.04089586,91250677.04535902,108548224.18417232,671079753.6981062,348569755.5236356,100661963.05471592,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,221848035.1197546,221772480.7887546,55443120.19718865,55443120.19718865,166329360.59156597,-0.0,0.0,166329360.59156597
2005-01-01,608243547.9597491,654563722.1854591,599058292.3436391,711104345.8453519,315766801.4822185,337008456.5020956,306355234.0721107,363431658.4454039,91236532.19396237,97921393.74061726,89308306.59309311,106258766.864558,608243547.9597491,315766801.4822185,91236532.19396237,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,201240214.28356826,201164659.95256826,50291164.988142066,50291164.988142066,150873494.96442622,-0.0,0.0,150873494.96442622
2005-02-01,611739989.9656298,662789417.5654082,607385742.7525148,717608411.2332143,318907983.76702857,344201663.108089,314776620.6409605,372208926.662836,91760998.49484448,98940604.79742214,90385641.88110174,107278456.69567992,611739989.9656298,318907983.76702857,91760998.49484448,,,,,,,,30221732.4,75554.33099999999,75554.33099999999,201071007.70375675,200995453.37275675,50248863.34318919,50248863.34318919,150746590.0295676,-0.0,0.0,150746590.0295676
