ds,inflow_operating_revenue_actual,inflow_operating_revenue_forecast,inflow_operating_revenue_lower,inflow_operating_revenue_upper,outflow_cogs_actual,outflow_cogs_forecast,outflow_cogs_lower,outflow_cogs_upper,outflow_opex_actual,outflow_opex_forecast,outflow_opex_lower,outflow_opex_upper,inflow_operating_revenue_final,outflow_cogs_final,outflow_opex_final,interest_expense,taxes,net_debt_financing_activity,capex_outflow,long_term_debt_projected,interest_forecast,interest_final,ebit_final,ebt_final,taxes_forecast,taxes_final,net_operating_cash_flow,net_investing_cash_flow,net_financing_cash_flow,net_change_in_cash_total
2000-11-01,599250540.118578,660861608.7539372,603932706.0037183,719559512.3234223,282845997.3699339,312890804.8853832,282499796.93960655,341679696.24731225,89887581.0177867,99736712.31885356,92266075.0638364,108698652.90829276,599250540.118578,282845997.3699339,89887581.0177867,,,,,30221732.4,75554.33099999999,75554.33099999999,226516961.73085737,226441407.39985737,56610351.84996434,56610351.84996434,169831055.54989308,-0.0,0.0,169831055.54989308
2000-12-01,584380698.7962962,618584026.5892586,562988584.8119373,676102245.6169972,276460796.7251759,296881644.1584053,267775406.19914156,324840550.428941,87657104.81944443,92804053.77154233,84020892.48579827,100950386.24733676,584380698.7962962,276460796.7251759,87657104.81944443,,,,,30221732.4,75554.33099999999,75554.33099999999,220262797.2516759,220187242.9206759,55046810.730168976,55046810.730168976,165140432.19050694,-0.0,0.0,165140432.19050694
2001-01-01,644979942.1168945,595553088.9754031,539082406.0000902,650825166.1520017,306876882.08053005,285200925.9935806,257059993.9612289,312588009.8244077,96746991.31753416,89127912.33664654,81011319.9630417,97756475.99415085,644979942.1168945,306876882.08053005,96746991.31753416,,,,,30221732.4,75554.33099999999,75554.33099999999,241356068.7188303,241280514.3878303,60320128.59695757,60320128.59695757,180960385.79087275,-0.0,0.0,180960385.79087275
2001-02-01,623397063.0848606,584797699.8524582,529776129.9848612,640714319.4449443,297283545.7310372,282494804.7415928,255064927.31075257,310715898.3949958,93509559.46272908,87236703.14609256,78839779.41435038,95153833.95840608,623397063.0848606,297283545.7310372,93509559.46272908,,,,,30221732.4,75554.33099999999,75554.33099999999,232603957.89109427,232528403.56009427,58132100.89002357,58132100.89002357,174396302.6700707,-0.0,0.0,174396302.6700707
2001-03-01,605546449.7950482,572854347.4867809,517101215.7820289,623094899.6905804,288935078.27719474,274575588.68286765,246932958.72403657,302239981.2688349,90831967.46925724,85972810.46819086,78026675.27958883,94465886.39012986,605546449.7950482,288935078.27719474,90831967.46925724,,,,,30221732.4,75554.33099999999,75554.33099999999,225779404.04859626,225703849.71759626,56425962.429399066,56425962.429399066,169277887.28819722,-0.0,0.0,169277887.28819722
2001-04-01,606611488.6681967,574155276.1673726,519216856.4190772,631694275.93896,289936348.1225936,276434231.1890529,247125984.67648208,304428998.8306236,90991723.3002295,86020272.59983468,77975811.08624934,93815658.93873948,606611488.6681967,289936348.1225936,90991723.3002295,,,,,30221732.4,75554.33099999999,75554.33099999999,225683417.2453736,225607862.9143736,56401965.7285934,56401965.7285934,169205897.18578023,-0.0,0.0,169205897.18578023
2001-05-01,601225725.0960225,596725433.1924763,541376486.6514738,654618699.1759845,288828299.2142185,288132982.07608145,258158363.7723926,318837522.3037134,90183858.76440336,89411198.85212724,81290964.12558754,97911894.35945088,601225725.0960225,288828299.2142185,90183858.76440336,,,,,30221732.4,75554.33099999999,75554.33099999999,222213567.11740065,222138012.78640065,55534503.19660016,55534503.19660016,166603509.58980054,-0.0,0.0,166603509.58980054
2001-06-01,639028753.7932951,596327717.3827384,543088130.1320901,651480381.694918,307681426.5183721,286616454.3972867,258168046.1198579,315780609.9666529,95854313.06899428,89358845.72378759,81264839.70945455,97385330.3301742,639028753.7932951,307681426.5183721,95854313.06899428,,,,,30221732.4,75554.33099999999,75554.33099999999,235493014.20592874,235417459.87492874,58854364.968732186,58854364.968732186,176563094.9061966,-0.0,0.0,176563094.9061966
2001-07-01,587766984.8250101,602445863.0226659,549223325.2955228,659756609.6685412,282521989.496842,289142518.5068048,260065949.4918925,316797820.61659896,88165047.7237515,90189353.23411056,81726579.6802371,98343749.65157808,587766984.8250101,282521989.496842,88165047.7237515,,,,,30221732.4,75554.33099999999,75554.33099999999,217079947.60441655,217004393.27341655,54251098.31835414,54251098.31835414,162753294.95506245,-0.0,0.0,162753294.95506245
2001-08-01,577665770.7019787,594769267.8213204,537934289.8276609,650230255.931659,277666638.33889616,285446473.9259018,255949361.1345733,315005682.0074422,86649865.6052968,89193346.67015159,81436315.04890059,97724375.2366594,577665770.7019787,277666638.33889616,86649865.6052968,,,,,30221732.4,75554.33099999999,75554.33099999999,213349266.75778574,213273712.42678574,53318428.106696434,53318428.106696434,159955284.32008934,-0.0,0.0,159955284.32008934
2001-09-01,612518427.0436722,544443628.9096609,485872712.1016336,595983898.2131275,295581011.1830808,264690358.30096385,233954590.92867067,293095943.4266632,91877764.05655085,81340446.82035045,72687893.19409025,89517696.84115401,612518427.0436722,295581011.1830808,91877764.05655085,,,,,30221732.4,75554.33099999999,75554.33099999999,225059651.80404055,224984097.47304055,56246024.36826014,56246024.36826014,168738073.10478044,-0.0,0.0,168738073.10478044
2001-10-01,798357215.0956873,554177855.1537938,497200072.3146383,608046902.3217244,384179041.32465,266481259.18679896,237023537.40173733,296959185.38194364,119753582.26435308,82909318.62883854,74456230.53346826,91800084.66180532,798357215.0956873,384179041.32465,119753582.26435308,,,,,30221732.4,75554.33099999999,75554.33099999999,294424591.5066842,294349037.1756842,73587259.29392105,73587259.29392105,220761777.8817631,-0.0,0.0,220761777.8817631
2001-11-01,656540711.7748264,542555253.834318,485370774.3127838,596250520.1327983,315757352.1455044,262316043.24163875,236246802.759107,291250699.5870411,98481106.76622397,81382961.73829636,73628202.93689615,90411125.67159064,656540711.7748264,315757352.1455044,98481106.76622397,,,,,30221732.4,75554.33099999999,75554.33099999999,242302252.86309803,242226698.53209803,60556674.633024506,60556674.633024506,181670023.89907354,-0.0,0.0,181670023.89907354
2001-12-01,581651018.4103234,571809335.6102798,518004233.9273595,629908274.8137082,279582227.5779455,275665435.9655581,247594197.90437117,304141604.07108206,87247652.7615485,85601300.2112693,77186807.96867667,94461870.6573471,581651018.4103234,279582227.5779455,87247652.7615485,,,,,30221732.4,75554.33099999999,75554.33099999999,214821138.0708294,214745583.7398294,53686395.93495735,53686395.93495735,161059187.8048721,-0.0,0.0,161059187.8048721
2002-01-01,594278785.0751162,595341561.3015579,538387438.2257133,653232288.9903824,286135081.1776809,285557783.06645393,258043556.0695145,313780925.12827706,89141817.76126742,89061787.57534236,80532439.3552256,97220811.61472408,594278785.0751162,286135081.1776809,89141817.76126742,,,,,30221732.4,75554.33099999999,75554.33099999999,219001886.13616782,218926331.80516782,54731582.951291956,54731582.951291956,164194748.85387588,-0.0,0.0,164194748.85387588
2002-02-01,630615443.3893218,590203326.6788758,536161856.9613086,647090506.7758688,304143162.1435935,284222613.10296935,256372720.7794148,313441690.197341,94592316.50839826,88143861.63254054,79607220.80839282,96717026.8850099,630615443.3893218,304143162.1435935,94592316.50839826,,,,,30221732.4,75554.33099999999,75554.33099999999,231879964.73733008,231804410.40633008,57951102.60158252,57951102.60158252,173853307.80474758,-0.0,0.0,173853307.80474758
2002-03-01,607736453.5637307,620961623.4313663,565900993.4403961,674692874.0237576,293932061.1886353,296260154.5142979,265944833.7435135,327230737.0007102,91160468.0345596,93004959.36490785,85154512.4704388,101579886.81483433,607736453.5637307,293932061.1886353,91160468.0345596,,,,,30221732.4,75554.33099999999,75554.33099999999,222643924.34053582,222568370.00953582,55642092.502383955,55642092.502383955,166926277.5071519,-0.0,0.0,166926277.5071519
2002-04-01,647282945.7200712,623780312.4896303,569586609.1431018,682055074.1849935,314461807.69159657,300743720.86891544,272671768.7056386,330677202.1937446,97092441.85801068,93322927.36165804,85240226.64955361,102136287.30803762,647282945.7200712,314461807.69159657,97092441.85801068,,,,,30221732.4,75554.33099999999,75554.33099999999,235728696.17046392,235653141.83946392,58913285.45986598,58913285.45986598,176739856.37959796,-0.0,0.0,176739856.37959796
2002-05-01,581890964.0171596,646071376.6642202,592129928.2361696,700397900.3740295,283008525.4971563,313195566.9584624,284853844.416398,342582308.9155413,87283644.60257393,96712547.09734794,89104973.51653321,105147814.64129914,581890964.0171596,283008525.4971563,87283644.60257393,,,,,30221732.4,75554.33099999999,75554.33099999999,211598793.91742933,211523239.58642933,52880809.89660733,52880809.89660733,158642429.68982202,-0.0,0.0,158642429.68982202
2002-06-01,612859926.1048541,630970956.011603,573102747.6772398,687166787.0844558,298236647.8667617,307181663.1379907,279125053.1019501,334867940.9912229,91928988.9157281,94345552.84513783,86022433.13470781,102850611.5578508,612859926.1048541,298236647.8667617,91928988.9157281,,,,,30221732.4,75554.33099999999,75554.33099999999,222694289.32236433,222618734.99136433,55654683.74784108,55654683.74784108,166964051.2435233,-0.0,0.0,166964051.2435233
2002-07-01,651932274.2261713,616072811.1946007,560059127.9035063,673151469.0945746,317957035.47973907,301572298.66352135,272677268.0504194,333492714.52326715,97789841.13392568,92083413.23033376,84319638.80523613,100661381.2603004,651932274.2261713,317957035.47973907,97789841.13392568,,,,,30221732.4,75554.33099999999,75554.33099999999,236185397.6125065,236109843.2815065,59027460.82037663,59027460.82037663,177082382.4611299,-0.0,0.0,177082382.4611299
2002-08-01,695706995.5090982,614135512.441185,558117841.7905034,666380321.2936438,340249134.4173437,300875262.8026454,273429709.5470042,328189180.8423573,104356049.32636473,91817072.65946336,83296260.21094733,100468120.11314216,695706995.5090982,340249134.4173437,104356049.32636473,,,,,30221732.4,75554.33099999999,75554.33099999999,251101811.7653898,251026257.4343898,62756564.35859745,62756564.35859745,188269693.07579237,-0.0,0.0,188269693.07579237
2002-09-01,605820225.4066613,598706198.4088677,541327653.4039474,655226252.2966032,296780694.54186094,294980418.03110766,267579652.42894316,324380396.3347728,90873033.81099918,89483976.77670674,81200912.0055571,97632326.83430678,605820225.4066613,296780694.54186094,90873033.81099918,,,,,30221732.4,75554.33099999999,75554.33099999999,218166497.05380118,218090942.72280118,54522735.680700295,54522735.680700295,163568207.0421009,-0.0,0.0,163568207.0421009
2002-10-01,578713756.4553187,572339154.6428014,519081126.3572317,627725935.5510192,284128927.37419665,282813669.8523063,254869597.89400268,309636057.2659637,86807063.4682978,85445778.72014359,77417427.5820261,94302281.2373787,578713756.4553187,284128927.37419665,86807063.4682978,,,,,30221732.4,75554.33099999999,75554.33099999999,207777765.61282426,207702211.28182426,51925552.820456065,51925552.820456065,155776658.4613682,-0.0,0.0,155776658.4613682
2002-11-01,610593460.1861749,595236387.1169494,540243781.4205455,651122209.6556791,300277112.0213516,293836751.72655445,267468801.86963448,322110334.9008778,91589019.02792622,88878098.84698933,80655920.07906851,97187888.40292636,610593460.1861749,300277112.0213516,91589019.02792622,,,,,30221732.4,75554.33099999999,75554.33099999999,218727329.1368971,218651774.8058971,54662943.70147427,54662943.70147427,163988831.10442287,-0.0,0.0,163988831.10442287
2002-12-01,633792815.1096845,592901226.7526048,536210189.47803503,650232814.9982997,312201253.8621904,293350095.1109404,265557277.14233413,322809235.60818875,95068922.26645268,88623073.68504868,80171920.20573355,96823484.1231542,633792815.1096845,312201253.8621904,95068922.26645268,,,,,30221732.4,75554.33099999999,75554.33099999999,226522638.98104137,226447084.65004137,56611771.16251034,56611771.16251034,169835313.48753107,-0.0,0.0,169835313.48753107
2003-01-01,610085292.6722052,571609445.3627095,515954798.1663666,625046791.4493951,301845552.5527301,286247801.27301943,258059828.0042481,313885896.9916991,91512793.90083078,85292542.70898105,76811276.04208629,94124965.72486384,610085292.6722052,301845552.5527301,91512793.90083078,,,,,30221732.4,75554.33099999999,75554.33099999999,216726946.21864438,216651391.88764438,54162847.971911095,54162847.971911095,162488543.91573334,-0.0,0.0,162488543.91573334
2003-02-01,562982684.1664107,564328826.6502311,513641206.8052399,621076646.6520681,280066501.70277464,282726171.1327492,254573769.9838836,309561513.4841087,84447402.6249616,84122136.331357,75818748.57453631,92663351.67082898,562982684.1664107,280066501.70277464,84447402.6249616,,,,,30221732.4,75554.33099999999,75554.33099999999,198468779.83867443,198393225.50767443,49598306.37691861,49598306.37691861,148794919.13075584,-0.0,0.0,148794919.13075584
2003-03-01,582878068.6903094,556927652.9258087,502825576.9184147,609847382.5925001,290437638.3037009,278214893.41561246,249435784.80303845,306965985.7821087,87431710.30354641,82942683.02680907,74221195.49855472,91320696.25943314,582878068.6903094,290437638.3037009,87431710.30354641,,,,,30221732.4,75554.33099999999,75554.33099999999,205008720.08306205,204933165.75206205,51233291.43801551,51233291.43801551,153699874.31404656,-0.0,0.0,153699874.31404656
2003-04-01,611509203.4357823,597523125.8621842,543005928.3774899,651691358.9492215,303544186.4145007,296848575.7526929,268095448.95357236,326523657.654098,91726380.51536734,89226002.80633049,80635731.3153332,98004809.66299182,611509203.4357823,303544186.4145007,91726380.51536734,,,,,30221732.4,75554.33099999999,75554.33099999999,216238636.50591427,216163082.17491427,54040770.54372857,54040770.54372857,162122311.6311857,-0.0,0.0,162122311.6311857
2003-05-01,607738338.3871753,623140559.3003994,569568884.1144252,681488776.0036079,301178379.3965585,309730216.8126332,282467216.7704194,338938636.88386244,91160750.7580763,93207724.21419051,85347926.45352024,102019397.24391912,607738338.3871753,301178379.3965585,91160750.7580763,,,,,30221732.4,75554.33099999999,75554.33099999999,215399208.2325405,215323653.9015405,53830913.47538512,53830913.47538512,161492740.4261554,-0.0,0.0,161492740.4261554
2003-06-01,620758313.3838348,609597316.0562583,555019716.960962,665259547.7975477,307967112.6076658,302636433.3733976,276161041.52532804,332500473.94195694,93113747.00757524,91189264.08757617,81932000.4853994,99605475.29276934,620758313.3838348,307967112.6076658,93113747.00757524,,,,,30221732.4,75554.33099999999,75554.33099999999,219677453.7685938,219601899.4375938,54900474.85939845,54900474.85939845,164701424.5781954,-0.0,0.0,164701424.5781954
2003-07-01,620980096.3902413,627721284.8259941,576875688.6703209,681922532.6385522,309086679.6732196,311242269.5450896,281519192.309219,340819949.8965183,93147014.4585362,94046458.23257416,85601355.37366235,102572421.24292596,620980096.3902413,309086679.6732196,93147014.4585362,,,,,30221732.4,75554.33099999999,75554.33099999999,218746402.25848544,218670847.92748544,54667711.98187136,54667711.98187136,164003135.9456141,-0.0,0.0,164003135.9456141
2003-08-01,660055994.7531787,624348848.6329813,565337844.9406333,677004706.5994624,329967071.7809571,310434337.33318734,283665471.25246733,339804771.21422136,99008399.2129768,93412072.76230216,84952344.54916783,101638024.15424566,660055994.7531787,329967071.7809571,99008399.2129768,,,,,30221732.4,75554.33099999999,75554.33099999999,231080523.7592448,231004969.4282448,57751242.3570612,57751242.3570612,173253727.07118362,-0.0,0.0,173253727.07118362
2003-09-01,609978078.0310479,612258737.1828424,551360355.300562,669205721.1098392,305924386.9690833,307110552.8733113,279999347.57166964,336670019.7526669,91496711.70465718,91655235.69564047,83745556.33268484,100155730.81580314,609978078.0310479,305924386.9690833,91496711.70465718,,,,,30221732.4,75554.33099999999,75554.33099999999,212556979.35730743,212481425.02630743,53120356.25657686,53120356.25657686,159361068.76973063,-0.0,0.0,159361068.76973063
2003-10-01,590951837.3242464,631538098.5179777,574774611.6100558,686837714.0732584,296061851.5728508,315221968.96617484,287400434.1006389,344204331.5117314,88642775.59863696,94419075.12658408,85776423.89682521,102931704.74590471,590951837.3242464,296061851.5728508,88642775.59863696,,,,,30221732.4,75554.33099999999,75554.33099999999,206247210.1527586,206171655.8217586,51542913.95543965,51542913.95543965,154628741.866319,-0.0,0.0,154628741.866319
2003-11-01,632753856.6289803,656695794.5708337,598990100.8851261,712907184.2977717,317175754.57573235,326124694.4574463,299504279.9754098,354951297.64277947,94913078.49434704,98090144.01997197,89603301.56685199,105708497.67872302,632753856.6289803,317175754.57573235,94913078.49434704,,,,,30221732.4,75554.33099999999,75554.33099999999,220665023.5589009,220589469.2279009,55147367.30697522,55147367.30697522,165442101.92092568,-0.0,0.0,165442101.92092568
2003-12-01,644490756.9796231,633768394.6737329,579446680.2171863,689559968.4134343,323932154.6072718,317932104.4041418,287765508.66420054,343516126.73716354,96673613.54694346,94881541.28195438,86777626.56089962,102968403.43076652,644490756.9796231,323932154.6072718,96673613.54694346,,,,,30221732.4,75554.33099999999,75554.33099999999,223884988.82540786,223809434.49440786,55952358.623601966,55952358.623601966,167857075.87080592,-0.0,0.0,167857075.87080592
2004-01-01,611246726.654781,676261311.8702458,621835111.1593603,731378634.1524843,308548083.91407937,337503356.8930077,307429240.74129146,366501272.0272836,91687008.99821717,101492510.48454618,93154286.64540404,109937494.81800257,611246726.654781,308548083.91407937,91687008.99821717,,,,,30221732.4,75554.33099999999,75554.33099999999,211011633.74248445,210936079.41148445,52734019.85287111,52734019.85287111,158202059.55861336,-0.0,0.0,158202059.55861336
2004-02-01,597490870.7579997,638329248.0939076,584132963.4534894,693377476.9422607,302251903.3462274,320087386.19003105,292031786.7483122,348168199.18549526,89623630.61369994,95647247.07307927,87308432.04902562,104070995.32738824,597490870.7579997,302251903.3462274,89623630.61369994,,,,,30221732.4,75554.33099999999,75554.33099999999,205615336.79807234,205539782.46707234,51384945.616768084,51384945.616768084,154154836.8503043,-0.0,0.0,154154836.8503043
2004-03-01,631211843.2548609,639924218.6550068,583055759.750446,700236110.3838906,319994400.52339524,320388227.7769689,292253737.44693804,350546060.30561686,94681776.48822913,96019107.60419495,88070360.40946108,104270078.60689048,631211843.2548609,319994400.52339524,94681776.48822913,,,,,30221732.4,75554.33099999999,75554.33099999999,216535666.24323654,216460111.91223654,54115027.978059135,54115027.978059135,162345083.93417746,-0.0,0.0,162345083.93417746
2004-04-01,609723983.5487635,650107739.1760598,594995165.4937737,706158776.6070411,309596696.09966683,326272695.1068094,299373935.18131465,356251134.62489134,91458597.53231452,97428001.6076802,89395309.35085532,105755450.3295497,609723983.5487635,309596696.09966683,91458597.53231452,,,,,30221732.4,75554.33099999999,75554.33099999999,208668689.91678214,208593135.58578214,52148283.896445535,52148283.896445535,156444851.68933666,-0.0,0.0,156444851.68933666
2004-05-01,652338566.2019807,639298907.8477618,582395272.9007565,695257534.1147602,332648926.5377805,325939362.86014086,298495313.1011592,355623335.5766962,97850784.9302971,95672447.34543473,86391710.25921072,103728413.67479292,652338566.2019807,332648926.5377805,97850784.9302971,,,,,30221732.4,75554.33099999999,75554.33099999999,221838854.73390305,221763300.40290305,55440825.10072576,55440825.10072576,166322475.3021773,-0.0,0.0,166322475.3021773
2004-06-01,595287831.8407463,654943342.1370515,599638572.7072271,712101734.0333073,304685941.3587934,331378780.885915,302891361.02798307,359085096.8114089,89293174.77611195,98126605.23041011,89111487.47196549,106413858.96477188,595287831.8407463,304685941.3587934,89293174.77611195,,,,,30221732.4,75554.33099999999,75554.33099999999,201308715.70584095,201233161.37484095,50308290.343710236,50308290.343710236,150924871.03113073,-0.0,0.0,150924871.03113073
2004-07-01,642379613.5768784,681305861.1870403,626191842.8374022,735010579.275932,329137018.7976788,345572177.8618157,318727862.8410556,373348777.6314309,96356942.03653176,101856555.11041512,93708133.0879272,110852132.27296576,642379613.5768784,329137018.7976788,96356942.03653176,,,,,30221732.4,75554.33099999999,75554.33099999999,216885652.74266785,216810098.41166785,54202524.60291696,54202524.60291696,162607573.80875093,-0.0,0.0,162607573.80875093
2004-08-01,635494271.9386163,666718511.1576462,612514046.7561638,722481623.8503673,325781354.71590364,338535215.5796623,308541820.74423057,367145951.0715367,95324140.79079244,99964726.2278693,91580223.89247006,108410882.34987444,635494271.9386163,325781354.71590364,95324140.79079244,,,,,30221732.4,75554.33099999999,75554.33099999999,214388776.43192017,214313222.10092017,53578305.52523004,53578305.52523004,160734916.57569015,-0.0,0.0,160734916.57569015
2004-09-01,639073095.4127634,657539188.5455829,602057412.4971797,711583771.4575616,328654963.0407982,334831964.2831873,306529736.8316091,363205343.097062,95860964.3119145,98342177.08151457,89766751.70493363,106501824.79139352,639073095.4127634,328654963.0407982,95860964.3119145,,,,,30221732.4,75554.33099999999,75554.33099999999,214557168.06005067,214481613.72905067,53620403.43226267,53620403.43226267,160861210.29678804,-0.0,0.0,160861210.29678804
2004-10-01,632917236.3968867,647901940.7136399,595117440.7252833,710263681.5241654,327204106.7966918,329786404.57546294,300446118.1713896,356334305.4606343,94937585.459533,97084866.27432336,88637959.90271808,105205255.89574105,632917236.3968867,327204106.7966918,94937585.459533,,,,,30221732.4,75554.33099999999,75554.33099999999,210775544.14066195,210699989.80966195,52674997.45241549,52674997.45241549,158024992.35724652,-0.0,0.0,158024992.35724652
2004-11-01,635511306.1687886,631395617.6072308,576906254.4901488,688910291.3009777,330094924.49002504,325803618.2376853,297672328.54149187,355678147.68542814,95326695.92531829,94961941.87565637,86630472.23671228,103033946.52378458,635511306.1687886,330094924.49002504,95326695.92531829,,,,,30221732.4,75554.33099999999,75554.33099999999,210089685.7534452,210014131.4224452,52503532.8556113,52503532.8556113,157510598.5668339,-0.0,0.0,157510598.5668339
2004-12-01,671079753.6981062,665176566.1957486,609134899.2529957,717421282.7638905,348569755.5236356,342922019.46932834,317014286.7335221,371210736.2832105,100661963.05471592,99679870.04089586,90806618.18447173,107217117.03410824,671079753.6981062,348569755.5236356,100661963.05471592,,,,,30221732.4,75554.33099999999,75554.33099999999,221848035.1197546,221772480.7887546,55443120.19718865,55443120.19718865,166329360.59156597,-0.0,0.0,166329360.59156597
2005-01-01,608243547.9597491,654563722.1854591,601793654.8388097,704709468.5493026,315766801.4822185,337008456.5020956,308928165.53531986,367030831.34254944,91236532.19396237,97921393.74061726,89180269.32270311,106311919.43047194,608243547.9597491,315766801.4822185,91236532.19396237,,,,,30221732.4,75554.33099999999,75554.33099999999,201240214.28356826,201164659.95256826,50291164.988142066,50291164.988142066,150873494.96442622,-0.0,0.0,150873494.96442622
2005-02-01,611739989.9656298,662789417.5654082,610420564.6994225,715705870.4748023,318907983.76702857,344201663.108089,315093977.5275359,371644887.84517086,91760998.49484448,98940604.79742214,90601287.67270808,107191722.10978068,611739989.9656298,318907983.76702857,91760998.49484448,,,,,30221732.4,75554.33099999999,75554.33099999999,201071007.70375675,200995453.37275675,50248863.34318919,50248863.34318919,150746590.0295676,-0.0,0.0,150746590.0295676
2005-03-01,619172828.8623915,636811393.1459527,582202758.3105918,694525977.7967912,323957184.76509213,330333892.9968293,301968689.1620701,358398401.43406993,92875924.32935873,95486773.97835764,87360419.60367177,104051035.38313492,619172828.8623915,323957184.76509213,92875924.32935873,,,,,30221732.4,75554.33099999999,75554.33099999999,202339719.76794064,202264165.43694064,50566041.35923516,50566041.35923516,151698124.0777055,-0.0,0.0,151698124.0777055
2005-04-01,630208727.4866924,625296043.2214684,571992437.1498234,682763545.5265033,330755813.63219136,327357231.02798784,299162219.7248659,356030080.59847444,94531309.12300386,93635269.1828351,85711670.5508063,102070472.50321594,630208727.4866924,330755813.63219136,94531309.12300386,,,,,30221732.4,75554.33099999999,75554.33099999999,204921604.73149723,204846050.40049723,51211512.60012431,51211512.60012431,153634537.80037296,-0.0,0.0,153634537.80037296
