ds,inflow_operating_revenue,outflow_cogs,outflow_opex,Interest_Rate_Proxy,Consumer_Confidence_Index,EV_Component_Cost_Index,Economic_Activity_Index
2001-12-01,581651018.4103234,279582227.5779455,87247652.7615485,1.82,88.8,177.4,87.9324
2002-01-01,594278785.0751162,286135081.1776809,89141817.76126742,1.73,93.0,177.7,88.5176
2002-02-01,630615443.3893218,304143162.1435935,94592316.50839826,1.74,90.7,178.0,88.5278
2002-03-01,607736453.5637307,293932061.1886353,91160468.03455961,1.73,95.7,178.5,89.1686
2002-04-01,647282945.7200712,314461807.69159657,97092441.85801068,1.75,93.0,179.3,89.604
2002-05-01,581890964.0171596,283008525.4971563,87283644.60257393,1.75,96.9,179.5,89.964
2002-06-01,612859926.1048541,298236647.8667617,91928988.9157281,1.75,92.4,179.6,90.7061
2002-07-01,651932274.2261713,317957035.47973907,97789841.13392569,1.73,88.1,180.0,90.6769
2002-08-01,695706995.5090982,340249134.4173437,104356049.32636473,1.74,87.6,180.5,90.5762
2002-09-01,605820225.4066613,296780694.54186094,90873033.81099918,1.75,86.1,180.8,90.6531
2002-10-01,578713756.4553187,284128927.37419665,86807063.4682978,1.75,80.6,181.2,90.4643
2002-11-01,610593460.1861749,300277112.0213516,91589019.02792622,1.34,84.2,181.5,90.9711
2002-12-01,633792815.1096845,312201253.86219037,95068922.26645267,1.24,86.7,181.8,90.4652
2003-01-01,610085292.6722052,301845552.5527301,91512793.90083078,1.24,82.4,182.6,91.2361
2003-02-01,562982684.1664107,280066501.70277464,84447402.6249616,1.26,79.9,183.6,91.3445
2003-03-01,582878068.6903094,290437638.3037009,87431710.30354641,1.25,77.6,183.9,91.1044
2003-04-01,611509203.4357823,303544186.4145007,91726380.51536734,1.26,86.0,183.2,90.5617
2003-05-01,607738338.3871753,301178379.3965585,91160750.7580763,1.26,92.1,182.9,90.537
2003-06-01,620758313.3838348,307967112.6076658,93113747.00757523,1.22,89.7,183.1,90.6527
2003-07-01,620980096.3902413,309086679.6732196,93147014.4585362,1.01,90.9,183.7,91.1185
2003-08-01,660055994.7531787,329967071.7809571,99008399.2129768,1.03,89.3,184.5,90.9197
2003-09-01,609978078.0310479,305924386.9690833,91496711.70465718,1.01,87.7,185.1,91.5059
2003-10-01,590951837.3242464,296061851.57285076,88642775.59863696,1.01,89.6,184.9,91.6186
2003-11-01,632753856.6289803,317175754.57573235,94913078.49434704,1.0,93.7,185.0,92.2329
2003-12-01,644490756.9796231,323932154.6072718,96673613.54694346,0.98,92.6,185.5,92.2602
2004-01-01,611246726.654781,308548083.91407937,91687008.99821715,1.0,103.8,186.3,92.4006
2004-02-01,597490870.7579997,302251903.3462274,89623630.61369994,1.01,94.4,186.7,92.958
2004-03-01,631211843.2548609,319994400.52339524,94681776.48822913,1.0,95.8,187.1,92.5861
2004-04-01,609723983.5487635,309596696.09966683,91458597.53231452,1.0,94.2,187.4,92.93
2004-05-01,652338566.2019807,332648926.5377805,97850784.9302971,1.0,90.2,188.2,93.6013
2004-06-01,595287831.8407463,304685941.3587934,89293174.77611195,1.03,95.6,188.9,92.871
2004-07-01,642379613.5768784,329137018.79767877,96356942.03653176,1.26,96.7,189.1,93.5649
2004-08-01,635494271.9386163,325781354.71590364,95324140.79079244,1.43,95.9,189.2,93.6277
2004-09-01,639073095.4127634,328654963.0407982,95860964.3119145,1.61,94.2,189.8,93.7467
2004-10-01,632917236.3968867,327204106.7966918,94937585.459533,1.76,91.7,190.8,94.5465
2004-11-01,635511306.1687886,330094924.49002504,95326695.92531829,1.93,92.8,191.7,94.7813
2004-12-01,671079753.6981062,348569755.5236356,100661963.05471592,2.16,97.1,191.7,95.5365
2005-01-01,608243547.9597491,315766801.4822185,91236532.19396237,2.28,95.5,191.6,95.8801
2005-02-01,611739989.9656298,318907983.76702857,91760998.49484447,2.5,94.1,192.4,96.5761
2005-03-01,619172828.8623915,323957184.76509213,92875924.32935871,2.63,92.6,193.1,96.4456
2005-04-01,630208727.4866924,330755813.63219136,94531309.12300386,2.79,87.7,193.7,96.6532
2005-05-01,643509586.2454351,337562213.75301135,96526437.93681526,3.0,86.9,193.6,96.7402
2005-06-01,690284120.7652693,362285503.267518,103542618.1147904,3.04,96.0,193.7,97.1753
2005-07-01,767418087.1984241,405263342.8524606,115112713.0797636,3.26,96.5,194.9,96.8676
2005-08-01,646076944.0748379,343285365.2496041,96911541.61122568,3.5,89.1,196.1,97.1833
2005-09-01,619962643.3200545,333945314.08911026,92994396.49800818,3.62,76.9,198.8,95.3005
2005-10-01,550462704.4019703,296956346.91378236,82569405.66029553,3.78,74.2,199.1,96.4572
2005-11-01,605199610.8888873,324845285.45633906,90779941.63333309,4.0,81.6,198.1,97.5414
2005-12-01,643702246.7855471,345511854.8387974,96555337.01783207,4.16,91.5,198.1,98.0452
2006-01-01,657002247.3170533,354786924.9379298,98550337.09755799,4.29,91.2,199.3,98.1999
2006-02-01,640172007.9219861,345871905.67943215,96025801.18829791,4.49,86.7,199.4,98.2413
2006-03-01,584398291.8513197,316213534.96857536,87659743.77769795,4.59,88.9,199.7,98.4628
2006-04-01,633020702.5362171,344237943.4724351,94953105.38043256,4.79,87.4,200.7,98.7618
2006-05-01,609370051.7546239,332367334.2468152,91405507.76319358,4.94,79.1,201.3,98.7869
2006-06-01,610854059.643874,334004316.0515613,91628108.94658111,4.99,84.9,201.8,99.0997
2006-07-01,643416028.1374159,353726319.1946158,96512404.22061238,5.24,84.7,202.9,99.0489
2006-08-01,574667255.707958,317332157.2336901,86200088.35619369,5.25,82.0,203.8,99.4836
2006-09-01,614508153.710339,337667337.0944864,92176223.05655085,5.25,85.4,202.8,99.3183
2006-10-01,617636371.315373,337880115.68239725,92645455.69730593,5.25,93.6,201.9,99.2044
2006-11-01,623595904.8585047,341309264.12611073,93539385.7287757,5.25,92.1,202.0,99.1627
2006-12-01,615608242.1329699,338772229.03347695,92341236.31994547,5.24,91.7,203.1,100.1735
2007-01-01,604449079.0167791,333183215.76856714,90667361.85251686,5.25,96.9,203.437,99.8346
2007-02-01,618045545.6909531,341999101.07032424,92706831.85364297,5.26,91.3,204.226,100.7753
2007-03-01,608672739.1921675,338564070.4656696,91300910.87882513,5.26,88.4,205.288,100.9547
2007-04-01,608138076.8798532,339281697.57873386,91220711.53197798,5.25,87.1,205.904,101.6334
2007-05-01,599419375.7142049,335799658.7836038,89912906.35713074,5.25,88.3,206.755,101.7306
2007-06-01,594350775.5570242,333731573.4183372,89152616.33355363,5.25,85.3,207.234,101.7893
2007-07-01,576993612.7053437,324562308.0617334,86549041.90580155,5.26,90.4,207.603,101.6672
2007-08-01,607122276.1053855,341615139.7099381,91068341.41580783,5.02,83.4,207.667,101.863
2007-09-01,592706822.7229635,334917102.85820067,88906023.40844451,4.94,83.4,208.547,102.0894
2007-10-01,594426530.3163263,336924472.37304634,89163979.54744893,4.76,80.9,209.19,101.8015
2007-11-01,590011480.2087114,337050179.6269151,88501722.0313067,4.49,76.1,210.834,102.3446
2007-12-01,565832047.8517979,324174174.79376656,84874807.17776969,4.24,75.5,211.445,102.3803
2008-01-01,574457790.867142,330250694.9881955,86168668.6300713,3.94,78.4,212.174,102.2448
2008-02-01,566235056.6028545,326310577.41383904,84935258.49042816,2.98,70.8,212.687,101.8438
2008-03-01,549641520.0470324,317881368.72003216,82446228.00705485,2.61,69.5,213.448,101.5336
2008-04-01,528585042.7978799,306411015.2276847,79287756.41968198,2.28,62.6,213.942,100.8785
2008-05-01,519293975.63851535,302806468.5350513,77894096.3457773,1.98,59.8,215.208,100.2674
2008-06-01,518387880.57081836,305445454.8822463,77758182.08562276,2.0,56.4,217.463,100.0335
2008-07-01,469691198.3878132,278728718.0712085,70453679.75817198,2.01,61.2,219.016,99.676
2008-08-01,505166608.43423223,299334664.2874558,75774991.26513483,2.0,63.0,218.69,98.1111
2008-09-01,469776229.4924413,278602248.94707197,70466434.4238662,1.81,70.3,218.877,93.7895
2008-10-01,400765645.9920674,235631672.44429323,60114846.89881011,0.97,57.6,216.995,94.7219
2008-11-01,397192290.4062174,229395932.01797363,59578843.56093261,0.39,55.3,213.153,93.4715
2008-12-01,378871797.1400826,217013426.7287559,56830769.571012385,0.16,60.1,211.398,90.8357
2009-01-01,357677997.4218885,205392349.84811303,53651699.61328327,0.15,61.2,211.933,88.57
2009-02-01,334873513.83564204,192997618.73481053,50231027.075346306,0.22,56.3,212.705,88.031
2009-03-01,340860577.76288396,196254192.80569527,51129086.66443259,0.18,57.3,212.495,86.6528
2009-04-01,340864583.5968592,196454145.6979758,51129687.539528884,0.15,65.1,212.709,85.9344
2009-05-01,370472211.54015267,213832418.61366796,55570831.7310229,0.18,68.7,213.022,85.0665
2009-06-01,387225612.29374886,225357276.60356244,58083841.84406233,0.21,70.8,214.79,84.7459
2009-07-01,418952552.7901746,243749047.61977762,62842882.91852619,0.16,66.0,214.726,85.7027
2009-08-01,539730326.4894965,315069738.86485827,80959548.97342446,0.16,65.7,215.445,86.6426
2009-09-01,346477304.1010508,202648049.81963533,51971595.61515762,0.15,73.5,215.861,87.4063
2009-10-01,375582735.6774967,220330706.76063147,56337410.3516245,0.12,70.6,216.509,87.6419
2009-11-01,410656595.2779016,241713025.09368494,61598489.29168524,0.12,67.4,217.234,88.0221
2009-12-01,416486916.3181532,245272278.4294345,62473037.44772298,0.12,72.5,217.347,88.3793
2010-01-01,402365038.15012556,237109518.99031675,60354755.72251883,0.11,74.4,217.488,89.3426
2010-02-01,368259009.43401426,216804645.92065647,55238851.41510214,0.13,73.6,217.281,89.6779
2010-03-01,440070927.78924465,259168234.52125326,66010639.1683867,0.16,73.6,217.353,90.2928
2010-04-01,404820599.3911024,238463321.46734238,60723089.90866535,0.2,72.2,217.403,90.5991
2010-05-01,442577185.335513,260568681.18135443,66386577.80032694,0.2,73.6,217.29,91.823
2010-06-01,440209985.68785715,259066443.86789936,66031497.85317857,0.18,76.0,217.199,91.9928
2010-07-01,425854127.5763342,251086396.31221247,63878119.13645013,0.18,67.8,217.605,92.3421
2010-08-01,431913185.37242424,255031005.81845385,64786977.805863634,0.19,68.9,217.923,92.6805
2010-09-01,434379697.2810665,256901693.82143736,65156954.59215997,0.19,68.2,218.275,92.9537
2010-10-01,446860679.88741237,265203414.62504193,67029101.98311185,0.19,67.7,219.035,92.6903
2010-11-01,433389757.35038066,257860401.33694324,65008463.60255709,0.19,71.6,219.59,92.7709
2010-12-01,458979907.3693006,274183027.93983626,68846986.1053951,0.18,74.5,220.472,93.6787
2011-01-01,455766831.2952705,273146579.6801949,68365024.69429058,0.17,74.2,221.187,93.4814
2011-02-01,480165396.7500576,288693961.27742916,72024809.51250863,0.16,77.5,221.898,93.1102
2011-03-01,473266883.9905515,286018423.31026345,70990032.59858271,0.14,67.5,223.046,94.0788
2011-04-01,499589869.19338083,303343969.9619338,74938480.37900712,0.1,69.8,224.093,93.7749
2011-05-01,439538545.60913855,267730788.7937776,65930781.84137078,0.09,74.3,224.806,93.888
2011-06-01,429422690.279077,261569040.40129533,64413403.54186155,0.09,71.5,224.806,94.172
2011-07-01,470058667.8463345,287071313.00256467,70508800.17695017,0.07,63.7,225.395,94.636
2011-08-01,447032553.7862776,273870143.89243245,67054883.067941636,0.1,55.8,226.106,95.2749
2011-09-01,487869112.5714731,299537314.4115138,73180366.88572097,0.08,59.5,226.597,95.1961
2011-10-01,512311452.26500446,314756576.1200912,76846717.83975066,0.07,60.8,226.75,95.8568
2011-11-01,483665881.62918943,297706263.2378239,72549882.24437842,0.08,63.7,227.169,95.8485
2011-12-01,503584782.1527969,310040436.4921853,75537717.32291953,0.07,69.9,227.223,96.3571
2012-01-01,526161222.40605015,324822477.5222379,78924183.36090752,0.08,75.0,227.842,96.9318
2012-02-01,553045438.3420897,342149052.45335686,82956815.75131345,0.1,75.3,228.329,97.2435
2012-03-01,517548309.6457547,320858577.57874155,77632246.4468632,0.13,76.2,228.807,96.74
2012-04-01,522857429.56593984,324688357.2308185,78428614.43489097,0.14,76.4,229.187,97.4359
2012-05-01,532615633.29075885,330064041.1524573,79892344.99361382,0.16,79.3,228.713,97.6609
2012-06-01,529183297.6122497,327666013.91875196,79377494.64183745,0.16,73.2,228.524,97.6663
2012-07-01,525514748.3095209,325488455.04471177,78827212.24642813,0.16,72.3,228.59,97.8713
2012-08-01,528861575.78744256,329464359.04683113,79329236.36811638,0.13,74.3,229.918,97.4525
2012-09-01,541572660.7075005,338992714.7078796,81235899.10612507,0.14,78.3,231.015,97.381
2012-10-01,541763212.4157426,340026504.2725106,81264481.86236139,0.16,82.6,231.638,97.7193
2012-11-01,565315605.4814639,354212831.9194934,84797340.82221958,0.16,82.7,231.249,98.0777
2012-12-01,554206789.7600391,347210275.7843214,83131018.46400586,0.16,72.9,231.221,98.3101
2013-01-01,596459329.064459,374421654.58848053,89468899.35966884,0.14,73.8,231.679,98.3342
2013-02-01,582213870.8935782,367463729.4074079,87332080.63403672,0.15,77.6,232.937,98.7941
2013-03-01,558037101.4794202,351214213.64793247,83705565.22191302,0.14,78.6,232.282,99.1921
2013-04-01,582479540.2655089,365832208.29768324,87371931.03982633,0.15,76.4,231.797,99.1065
2013-05-01,566325344.4657259,355833710.5573876,84948801.66985889,0.11,84.5,231.893,99.1839
2013-06-01,596464519.4138429,375662873.421125,89469677.91207643,0.09,84.1,232.445,99.3897
2013-07-01,596065424.9911635,376146367.52285045,89409813.74867453,0.09,85.1,232.9,99.0814
2013-08-01,566065645.6577934,358067819.10119915,84909846.848669,0.08,82.1,233.456,99.6543
2013-09-01,587712481.2899417,371900772.7091347,88156872.19349125,0.08,77.5,233.544,100.161
2013-10-01,576596814.9365419,365062136.81130344,86489522.24048129,0.09,73.2,233.669,100.082
2013-11-01,594288051.0601587,376957045.1355694,89143207.6590238,0.08,75.1,234.1,100.3158
2013-12-01,597646369.7348574,380089598.1852754,89646955.4602286,0.09,82.5,234.719,100.5175
2014-01-01,564980183.0330206,360185682.6162277,84747027.45495309,0.07,81.2,235.288,100.1599
2014-02-01,572781420.0778383,365561079.9314388,85917213.01167575,0.07,81.6,235.547,100.9168
2014-03-01,606632224.5549561,387955984.3137305,90994833.68324341,0.08,80.0,236.028,101.8942
2014-04-01,597169531.8672003,382616304.01862884,89575429.78008004,0.09,84.1,236.468,101.9928
2014-05-01,622186071.1872915,399403434.0988959,93327910.67809372,0.09,81.9,236.918,102.3836
2014-06-01,641274222.9367671,412200652.68700475,96191133.44051506,0.1,82.5,237.231,102.735
2014-07-01,631714310.3518924,406512705.89450353,94757146.55278385,0.09,81.8,237.498,102.9632
2014-08-01,637226472.2168808,409994211.60808396,95583970.83253212,0.09,82.5,237.46,102.7688
2014-09-01,616834789.5097182,396902529.18895537,92525218.42645772,0.09,84.6,237.477,103.0641
2014-10-01,627005367.130815,403366942.6620708,94050805.06962225,0.09,86.9,237.43,103.0764
2014-11-01,613048586.8626678,393645726.6057649,91957288.02940017,0.09,88.8,236.983,103.7126
2014-12-01,658620267.0320791,421603334.3003994,98793040.05481187,0.12,93.6,236.252,103.7044
2015-01-01,622587025.4514567,395998525.7944794,93388053.81771849,0.11,98.1,234.747,102.8905
2015-02-01,603672415.8639915,384941047.7629147,90550862.37959872,0.11,95.4,235.342,102.2335
2015-03-01,636808662.1627601,407164822.83781815,95521299.32441401,0.11,93.0,235.976,101.8914
2015-04-01,649572740.4284369,415758929.8495332,97435911.06426553,0.12,95.9,236.222,101.3355
2015-05-01,649032501.2489873,416783076.62771285,97354875.1873481,0.12,90.7,237.001,100.8883
2015-06-01,659780737.0375997,424857896.7751425,98967110.55563995,0.13,96.1,237.657,100.571
2015-07-01,672395681.3828017,433667985.51516575,100859352.20742024,0.13,93.1,238.034,101.2228
2015-08-01,667771686.1489527,430683886.49489087,100165752.92234291,0.14,91.9,238.033,101.0367
2015-09-01,653487820.9743991,420524116.7093819,98023173.14615986,0.14,87.2,237.498,100.7547
2015-10-01,644218233.8795847,414969269.4351664,96632735.0819377,0.12,90.0,237.733,100.2675
2015-11-01,659998745.9968936,425642063.37789696,98999811.89953405,0.12,91.3,238.017,99.5298
2015-12-01,647356918.6589999,417040147.0718047,97103537.79884999,0.24,92.6,237.761,99.0417
2016-01-01,659302563.3551185,424541050.5743575,98895384.50326778,0.34,92.0,237.652,99.5607
2016-02-01,641624390.3577285,412608276.9577118,96243658.55365928,0.38,91.7,237.336,99.0445
2016-03-01,630924574.6900992,406999438.4144719,94638686.20351489,0.36,91.0,238.08,98.3096
2016-04-01,647443188.8522207,419255223.8570178,97116478.3278331,0.37,89.0,238.992,98.6421
2016-05-01,632063214.2843294,410263455.4763255,94809482.14264941,0.37,94.7,239.557,98.4184
2016-06-01,646874580.0254015,421042868.77742904,97031187.00381021,0.38,93.5,240.222,98.8833
2016-07-01,659258094.1621599,428887009.32256997,98888714.12432398,0.39,90.0,240.101,98.9992
2016-08-01,636972049.5176518,415154894.39234877,95545807.42764777,0.4,89.8,240.545,98.85
2016-09-01,657600195.3068599,429723865.7442986,98640029.29602897,0.4,91.2,241.176,98.7457
2016-10-01,660177505.0155665,432418721.92000514,99026625.75233497,0.4,87.2,241.741,98.7611
2016-11-01,660978445.3096149,433453758.3555563,99146766.79644223,0.41,93.8,242.026,98.3491
2016-12-01,678607568.7015725,446137962.2406111,101791135.30523588,0.54,98.2,242.637,99.0214
2017-01-01,624187961.1933804,412019920.6064083,93628194.17900705,0.65,98.5,243.618,98.7611
2017-02-01,631511441.3571671,417517978.68849903,94726716.20357506,0.66,96.3,244.006,98.3646
2017-03-01,626773809.4615804,414192135.2632191,94016071.41923706,0.79,96.9,243.892,99.0137
2017-04-01,630615621.6689358,417245237.02191204,94592343.25034036,0.9,97.0,244.193,100.0224
2017-05-01,627508708.2503628,414868208.0221917,94126306.23755442,0.91,97.1,244.004,100.1408
2017-06-01,670889193.3673726,443837610.48524904,100633379.0051059,1.04,95.0,244.163,100.3471
2017-07-01,633939743.8259038,419530517.9073582,95090961.57388556,1.15,93.4,244.243,100.1068
2017-08-01,634101259.5084884,421252433.7340229,95115188.92627326,1.16,96.8,245.183,99.6925
2017-09-01,678615055.1850224,453126364.2428825,101792258.27775335,1.15,95.1,246.435,99.7954
2017-10-01,680810181.1190611,454944431.27363575,102121527.16785917,1.15,100.7,246.626,101.0247
2017-11-01,650509314.1990595,435855959.92584425,97576397.12985893,1.16,98.5,247.284,101.2664
2017-12-01,660291943.4562168,443342652.8993483,99043791.51843251,1.3,95.9,247.805,101.4644
2018-01-01,614911535.4691447,414628780.5702436,92236730.3203717,1.41,95.7,248.859,101.4625
2018-02-01,631414564.7819431,426902869.6310325,94712184.71729146,1.42,99.7,249.529,101.7085
2018-03-01,636003011.8096268,430087860.79882747,95400451.77144402,1.51,101.4,249.577,102.2067
2018-04-01,640448104.5578631,434221742.98925614,96067215.68367946,1.69,98.8,250.227,103.3329
2018-05-01,678322272.6742401,460938738.242686,101748340.90113601,1.7,98.0,250.792,102.4024
2018-06-01,621088213.7466612,422426938.086453,93163232.06199917,1.82,98.2,251.018,103.198
2018-07-01,649835785.3655407,442324417.97180796,97475367.8048311,1.91,97.9,251.214,103.3646
2018-08-01,618073854.1125027,421456925.0752141,92711078.1168754,1.91,96.2,251.663,104.0327
2018-09-01,640281755.7569048,437500611.4796389,96042263.36353572,1.95,100.1,252.182,104.1004
2018-10-01,668448545.6789876,457815402.690137,100267281.85184814,2.19,98.6,252.772,103.9856
2018-11-01,657590400.355843,450061587.20893043,98638560.05337644,2.2,97.5,252.594,104.0681
2018-12-01,643159255.9544543,440486244.2719236,96473888.39316814,2.27,98.3,252.767,104.0936
2019-01-01,608246507.7038087,416235737.0488217,91236976.1555713,2.4,91.2,252.561,103.4021
2019-02-01,625166812.6377603,429098634.595081,93775021.89566404,2.4,93.8,253.319,102.8371
2019-03-01,639305679.5865731,440462656.8612712,95895851.93798597,2.41,98.4,254.277,102.8757
2019-04-01,619672801.1391939,428541328.94009316,92950920.17087908,2.42,97.2,255.233,102.274
2019-05-01,653923464.0299114,452339364.7004881,98088519.6044867,2.39,100.0,255.296,102.392
2019-06-01,638138507.6201042,441276903.9619972,95720776.14301562,2.38,98.2,255.213,102.4375
2019-07-01,670534242.0902957,464748876.97346133,100580136.31354435,2.4,98.4,255.802,101.9408
2019-08-01,658481124.578067,456812328.88585305,98772168.68671004,2.13,89.8,256.036,102.639
2019-09-01,618248551.2087559,429561541.4698373,92737282.68131338,2.04,93.2,256.43,102.2917
2019-10-01,622258906.7732087,433570322.1088282,93338836.0159813,1.83,95.5,257.155,101.4281
2019-11-01,629682308.2055669,439977959.5529803,94452346.23083504,1.55,96.8,257.879,101.9372
2019-12-01,646862650.6750599,453298652.809511,97029397.60125898,1.55,99.3,258.63,101.7003
2020-01-01,602999178.4666592,423372689.96626145,90449876.76999888,1.55,99.8,259.127,101.0338
2020-02-01,621463077.2351966,436543522.73158896,93219461.58527948,1.58,101.0,259.25,101.3735
2020-03-01,434331284.7560655,303712162.37823105,65149692.71340982,0.65,89.1,258.076,97.4078
2020-04-01,329934216.91613483,228883802.04862052,49490132.53742022,0.05,71.8,256.032,84.5619
2020-05-01,445147873.9730555,308533049.514632,66772181.09595832,0.05,72.3,255.802,85.9604
2020-06-01,488767688.11686057,340408214.5284159,73315153.21752909,0.08,78.1,257.042,91.5934
2020-07-01,546814028.6934824,382776201.5394878,82022104.30402236,0.09,72.5,258.352,95.0256
2020-08-01,577430339.5801159,405716215.1781351,86614550.93701738,0.1,74.1,259.316,95.9549
2020-09-01,629187577.7075578,443243044.1721798,94378136.65613367,0.09,80.4,259.997,95.9669
2020-10-01,607189678.4937102,428275962.9312713,91078451.77405652,0.09,81.8,260.319,96.7394
2020-11-01,577693736.6613692,408397900.4818181,86654060.49920538,0.09,76.9,260.911,97.0816
2020-12-01,626032271.009496,444494151.4191908,93904840.6514244,0.09,80.7,262.045,98.363
2021-01-01,633750577.7715789,450994283.30857843,95062586.66573684,0.09,79.0,262.639,98.8822
2021-02-01,599235030.7141722,427948556.81117004,89885254.60712583,0.08,76.8,263.573,95.6149
2021-03-01,650539783.908104,466833884.822596,97580967.58621559,0.07,84.9,264.847,98.3856
2021-04-01,668859099.1743641,483202264.082533,100328864.87615462,0.07,88.3,266.625,98.5587
2021-05-01,653178921.870444,475022955.9704141,97976838.2805666,0.06,82.9,268.404,99.4333
2021-06-01,575575644.7122084,422182434.56467956,86336346.70683126,0.08,85.5,270.71,99.7987
2021-07-01,557141683.9040533,410555733.8637007,83571252.58560799,0.1,81.2,271.965,100.2519
2021-08-01,512311599.78177595,378613055.656007,76846739.9672664,0.09,70.3,272.752,100.0437
2021-09-01,454350948.78336585,337243442.56936735,68152642.31750487,0.08,72.8,273.942,98.8579
2021-10-01,477817693.54200494,358009699.17427444,71672654.03130074,0.08,71.7,276.528,100.1861
2021-11-01,454652764.3526346,343481571.93441087,68197914.65289518,0.08,67.4,278.824,100.8654
2021-12-01,467410754.58556837,355630120.0943274,70111613.18783525,0.08,70.6,280.806,100.5726
2022-01-01,538560351.2141194,412297636.32784766,80784052.68211791,0.08,67.2,282.542,100.1856
2022-02-01,503428530.7783829,388107208.4848751,75514279.61675744,0.08,62.8,284.525,100.8064
2022-03-01,533996291.82923144,415929467.82941353,80099443.7743847,0.2,59.4,287.467,101.3907
2022-04-01,516239648.2042998,403658449.3804622,77435947.23064497,0.33,65.2,288.582,101.44
2022-05-01,479042740.3067022,378100027.73973584,71856411.04600532,0.77,58.4,291.299,101.3335
2022-06-01,503882510.58888257,402856835.8912326,75582376.58833238,1.21,50.0,295.072,101.018
2022-07-01,518888287.7991624,414668452.9149195,77833243.16987436,1.68,51.5,294.94,101.223
2022-08-01,500956600.2119244,400639716.4483731,75143490.03178865,2.33,58.2,295.162,101.0963
2022-09-01,525385140.85820585,421968669.31451756,78807771.12873088,2.56,58.6,296.421,101.2918
2022-10-01,549152241.6335933,443375684.094645,82372836.245039,3.08,59.9,297.979,101.2529
2022-11-01,519867315.32742774,420758424.4520114,77980097.29911415,3.78,56.7,298.708,100.9552
2022-12-01,509158193.6769716,412228876.0793643,76373729.05154574,4.1,59.8,298.808,99.7664
2023-01-01,571596855.4618269,465333334.39568216,85739528.31927404,4.33,64.9,300.456,100.505
2023-02-01,555777617.9935703,453991006.8642359,83366642.69903554,4.57,66.9,301.476,100.6416
2023-03-01,568814166.7029353,464897390.17938876,85322125.0054403,4.65,62.0,301.643,101.0205
2023-04-01,592112908.1374086,485888959.9185635,88816936.22061129,4.83,63.7,302.858,101.253
2023-05-01,580608808.9598973,477169188.82717264,87091321.34398459,5.06,59.0,303.316,100.9286
2023-06-01,611834808.8581694,504130097.01479733,91775221.32872541,5.08,64.2,304.099,100.1196
2023-07-01,612300278.9476876,505369694.50958157,91845041.84215315,5.12,71.5,304.615,100.9067
2023-08-01,569917183.5917345,472740102.15379393,85487577.53876017,5.33,69.4,306.138,100.8393
2023-09-01,614546733.4750476,511817929.8696827,92182010.02125713,5.33,67.8,307.374,101.0211
2023-10-01,549932972.2063028,458420854.3399094,82489945.83094542,5.33,63.8,307.653,100.4689
2023-11-01,572133459.2879081,477599839.86169654,85820018.89318621,5.33,61.3,308.087,100.8639
2023-12-01,600458082.4183736,502298653.4312126,90068712.36275603,5.33,69.7,308.735,100.6031
2024-01-01,569202186.1844413,477785553.52570003,85380327.9276662,5.33,79.0,309.794,99.2223
