ds,inflow_operating_revenue_actual,inflow_operating_revenue_forecast,inflow_operating_revenue_lower,inflow_operating_revenue_upper,outflow_cogs_actual,outflow_cogs_forecast,outflow_cogs_lower,outflow_cogs_upper,outflow_opex_actual,outflow_opex_forecast,outflow_opex_lower,outflow_opex_upper
2024-04-30,725670881.59,716926700.6433609,683505316.5330724,746252782.5018926,436590285.49,431791113.8305399,419512652.5042462,445378480.9823668,585313.95,576087.2032988949,564636.5566984246,588197.6003759757
2024-05-31,660082605.0,645119563.6971815,612949041.3361509,676506700.6739941,398107491.6,389784580.6447579,376676608.39051974,402421789.3295671,590878.75,588369.6439701263,574925.8427191195,601031.9420828238
2024-06-30,602160000.0,587253029.4367688,555900912.2809743,621030441.7088206,360647248.0,358477377.66817623,344975579.78825694,371534468.87577766,589833.29,581885.7314496743,569401.4911366532,594535.7870625895
2024-07-31,613329405.0,546440527.0663464,515852322.43223965,578378405.249432,368805481.1999999,334581346.40679085,321889801.620576,347253274.7910994,580011.73,565710.6999060201,552746.410146701,578241.0298512331
2024-08-31,578492791.21,592794031.9604918,561659788.8877224,624478515.0842905,346347887.20000005,356408480.23213995,343303887.5269861,369624733.8469396,599188.04,613092.0401283128,601176.8220670393,624987.2617997272
2024-09-30,586845090.0,602621508.0897453,571892791.7944328,635104653.3631794,352539907.2,358499564.24031126,344125962.0870874,373045665.3080663,580064.13,564555.7739190658,552079.7885561986,577524.9973710502
2024-10-31,596618707.07,723691668.6178161,693524376.3663925,754471246.9067434,359052580.85,409463642.6316057,396767966.9271265,421729034.01885283,568540.84,630497.2371687943,617781.2799173682,642503.623625381
2024-11-30,642819970.0,559283018.9529432,527176818.8380702,590073799.7517312,386269863.2000001,335376852.7620648,322074150.1673136,348288634.4421529,575610.44,585474.5052861755,573225.1601030204,598738.1268939811
2024-12-31,639906800.0,549948885.7695159,517705907.2323097,582429796.3490977,384374744.0,347772161.344301,335939239.10281736,360978287.5798511,583082.9,590963.5214673645,578225.0170630091,602113.4434675509
2025-01-31,,641661461.4874938,610737287.1027172,672241041.2749913,,388992420.0693128,375736842.78617793,402122893.3783537,,601289.0580791621,589195.0329286769,613672.6252618803
2025-02-28,,779369358.7962418,747805942.7195157,807968238.13153,,459383322.120217,446854718.8887168,472119054.3335173,,597396.8885167259,585263.950075818,609767.3467420712
2025-03-31,,780372946.8427882,749685445.1249627,811499447.2066077,,464096189.2460447,451823883.1262975,476585427.72967535,,602775.5698814803,589883.1216315955,616076.1473207015
2025-04-30,,930123217.9006541,897794912.0842584,960891649.9716402,,524052487.50556415,510969696.3673509,536916994.472537,,618913.294978916,606123.2730178407,632688.5669634629
2025-05-31,,838380730.5136968,807135748.7437432,867813898.1751285,,481272086.85904,468315799.69662166,493650204.90808886,,605493.6988410895,592121.890254684,618233.5400986177
2025-06-30,,614821714.739667,583265112.3114985,644045176.8562156,,383502417.56158596,369775697.7567,396559395.37536687,,568464.8926120827,555143.1495087413,580641.1597643571
2025-07-31,,795468517.0405747,762651670.278232,825783028.2349917,,451140544.61140406,437874849.3905335,464258648.2861623,,593214.7609769711,579219.3364032522,606227.635366217
2025-08-31,,714086011.6885339,683057220.8336724,747021189.8262767,,410826574.3304295,397624201.59610283,424544367.1680531,,633564.6483461778,618566.9603536768,647836.0143060469
2025-09-30,,581672369.6450379,550036420.5342188,612785463.525375,,360470849.2136812,347442807.37211186,374202084.9144544,,568340.3015730475,555298.9087186157,582333.2840676435
2025-10-31,,597592435.5504841,566067591.9170223,626209274.6350552,,372167800.1457076,358204601.6409787,385816039.8066712,,589785.101246246,575280.3071000974,603609.0413108184
2025-11-30,,453584116.5806556,422309077.4338728,486363238.12875617,,313131991.62504786,299778443.99922615,325550269.99560326,,543331.4974034412,528986.9720592458,558328.9428267538
2025-12-31,,570280286.220874,539251117.4491655,602982347.0695692,,376911126.1709758,363558736.36352056,389243836.4904009,,562148.6130397146,547518.9062238669,576992.0200592298
2026-01-31,,482186264.49416596,451700978.04111004,511961143.9585245,,332932417.0027355,320603172.83177024,346693142.3312522,,568792.6123420037,554237.4800961675,583408.8094072285
2026-02-28,,440672228.96022356,409523524.8399943,472182487.9624079,,333874045.9003995,321165557.8667115,347506582.9751994,,536779.9260362431,522422.479835075,551581.4203309069
2026-03-31,,628830013.525817,596711143.8925852,659324027.2540907,,405195600.93930995,392098539.6709246,419569690.81618905,,579304.5519048916,563637.7553187094,594600.2004461223
2026-04-30,,771015322.9377939,739477429.5873853,800278560.6277936,,469536117.0939928,457499605.26883835,481936856.20452195,,595245.7254370027,580121.0577532107,612673.5573129941
2026-05-31,,708168450.8910489,676718837.1692358,740479202.2496647,,433835154.3434853,421268715.5723272,447664476.03166854,,597912.3138793859,581729.4534896158,614098.5630286221
2026-06-30,,492245850.1731715,461397467.63474214,523020931.73465127,,336223975.4772928,323587026.57332623,349041251.78173655,,571462.6153701749,554846.3028300318,588247.2342079543
2026-07-31,,,,,,,,,,,,
2026-08-31,,,,,,,,,,,,
2026-09-30,,,,,,,,,,,,
2026-10-31,,,,,,,,,,,,
2026-11-30,,,,,,,,,,,,
2026-12-31,,,,,,,,,,,,
